DateAndTime,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
08.10.2017 12:00,10,707.9,760,0.1,67,Wind blowing from the west,4,,,40%.,Clouds generally dissolving or becoming less developed. ,Rain.,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,5.5,10.2,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",20–30%.,1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",18,4.1,,,,,,
08.10.2017 09:00,5.8,707.8,760.7,0.1,90,Wind blowing from the west,2,,,100%.,"Rain, not freezing, continuous, slight at time of observation. ",Rain.,Rain.,2.6,6,Stratocumulus other than Stratocumulus cumulogenitus.,70 – 80%.,1000-1500,Altostratus opacus or Nimbostratus.,,8,4.2,9,12,,,,
08.10.2017 06:00,4.6,707.7,760.9,-0.1,91,Wind blowing from the west,2,,,100%.,"Rain, not freezing, continuous, slight at time of observation. ",Rain.,Rain.,2.6,4.6,Stratocumulus other than Stratocumulus cumulogenitus.,70 – 80%.,1000-1500,Altostratus opacus or Nimbostratus.,,8,3.2,,,,,,
08.10.2017 03:00,3,707.8,761.3,-0.2,93,Wind blowing from the west,2,,,100%.,"Rain, not freezing, continuous, slight at time of observation. ",Rain.,Rain.,2.6,4,Stratocumulus other than Stratocumulus cumulogenitus.,70 – 80%.,1000-1500,Altostratus opacus or Nimbostratus.,,8,2,7,6,,,,
08.10.2017 00:00,4,708,761.3,1.1,91,Wind blowing from the west-northwest,3,,,100%.,"Rain, not freezing, continuous, slight at time of observation. ",Rain.,Rain.,3.4,4,Stratocumulus other than Stratocumulus cumulogenitus.,70 – 80%.,1000-1500,Altostratus opacus or Nimbostratus.,,9,2.6,,,,,,
07.10.2017 21:00,3.4,706.9,760.3,0,90,Wind blowing from the west,4,,,100%.,"Rain, not freezing, continuous, slight at time of observation. ",Shower(s).,Rain.,3,7.8,Stratocumulus other than Stratocumulus cumulogenitus.,70 – 80%.,1000-1500,Altostratus opacus or Nimbostratus.,,7,1.9,36,12,,,,
07.10.2017 18:00,4.6,706.9,760,1.1,91,Wind blowing from the west,2,,,100%.,"Rain shower(s), moderate or heavy. ",Shower(s).,Shower(s).,4,7.8,"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.",100%.,1000-1500,,,6,3.2,,,,,,
07.10.2017 15:00,6.8,705.8,758.4,-1.4,86,"Calm, no wind",0,,,100%.,"Rain shower(s), moderate or heavy. ",Shower(s).,Shower(s).,4,7.8,"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.",100%.,1000-1500,,,7,4.6,17,6,,,,
07.10.2017 12:00,5,707.2,760.3,2.1,94,Wind blowing from the west,2,,,100%.,"Rain shower(s), moderate or heavy. ",Shower(s).,Shower(s).,4,7.8,"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.",100%.,1000-1500,,,7,4.1,,,,,,
07.10.2017 09:00,7.6,705.1,757.4,-0.2,92,"Calm, no wind",0,,,"90  or more, but not 100%","Rain shower(s), slight. ",Shower(s).,Cloud covering more than 1/2 of the sky throughout the appropriate period.,6.9,11.4,"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.","90  or more, but not 100%",1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",8,6.3,8,12,,,,
07.10.2017 06:00,7.6,705.3,757.6,-1.3,92,Wind blowing from the west-southwest,2,,,"90  or more, but not 100%","Rain shower(s), slight. ",Shower(s).,Cloud covering more than 1/2 of the sky throughout the appropriate period.,7,11.4,"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.","90  or more, but not 100%",1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",10,6.3,,,,,,
07.10.2017 03:00,8.6,706.6,758.9,0,84,Wind blowing from the north-west,2,,,"90  or more, but not 100%",Clouds generally forming or developing. ,Shower(s).,Cloud covering more than 1/2 of the sky throughout the appropriate period.,8,11.4,"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.","90  or more, but not 100%",1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",10,6.1,Trace of precipitation,6,,,,
07.10.2017 00:00,9.4,706.6,758.8,1.2,77,Wind blowing from the west-southwest,6,,,70 – 80%., ,,,9,11.4,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",70 – 80%.,1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",10,5.6,,,,,,
06.10.2017 21:00,11.4,705.4,757,0.9,74,Wind blowing from the north-west,5,,,60%., ,,,8.4,22.4,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",40%.,1000-1500,Altocumulus translucidus at a single level.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",12,6.9,No precipitation,12,,,,
06.10.2017 18:00,17.4,704.5,754.9,-0.1,62,Wind blowing from the west,5,,,70 – 80%., ,,,8.4,22.4,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",70 – 80%.,1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",15,9.9,,,,,,
06.10.2017 15:00,22.2,704.6,754.3,-1.4,39,Wind blowing from the west-northwest,3,,,70 – 80%., ,,,8.4,22.4,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",40%.,1000-1500,Altocumulus translucidus at a single level.,"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",20,7.7,No precipitation,6,,,,
06.10.2017 12:00,18,706,756.4,-0.4,54,Wind blowing from the north,1,,,70 – 80%., ,,,8.4,18.2,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",40%.,1000-1500,"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",20,8.6,,,,,,
06.10.2017 09:00,8.4,706.4,758.7,0,89,Wind blowing from the south-southeast,1,,,50%., ,,,6.6,15.6,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",20–30%.,1000-1500,"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",20,6.7,No precipitation,12,,,,
06.10.2017 06:00,8.8,706.4,758.6,-0.8,84,"Calm, no wind",0,,,"10%  or less, but not 0", ,,,7.9,15.6,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",20,6.3,,,,,,
06.10.2017 03:00,10.8,707.2,759.1,-1,76,"Calm, no wind",0,,,"10%  or less, but not 0", ,,,9.5,15.6,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",20,6.7,No precipitation,6,,,,
06.10.2017 00:00,12,708.2,759.9,-0.6,75,"Calm, no wind",0,,,"10%  or less, but not 0", ,,,11.4,15.6,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",20,7.6,,,,,,
05.10.2017 21:00,15,708.8,760,-0.8,65,Wind blowing from the south-southeast,1,,,20–30%., ,,,6.5,23.2,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",20,8.5,No precipitation,12,,,,
05.10.2017 18:00,22.8,709.6,759.4,-2.1,39,Wind blowing from the west-southwest,4,,,50%., ,,,6.5,23.2,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0",1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",25,8,,,,,,
05.10.2017 15:00,21.8,711.7,761.8,-2.3,39,Wind blowing from the west,3,,,60%., ,,,6.5,22.2,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0",1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",25,7,No precipitation,6,,,,
05.10.2017 12:00,13.8,714,765.8,-0.6,65,Wind blowing from the south,1,,,50%., ,,,6.5,14,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",20–30%.,1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",22,7.2,,,,,,
05.10.2017 09:00,6.8,714.6,767.8,-0.2,90,"Calm, no wind",0,,,20–30%., ,,,4.5,14.5,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0",1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",20,5.3,No precipitation,12,,,,
05.10.2017 06:00,5.8,714.8,768.2,-0.8,91,Wind blowing from the south-east,1,,,20–30%., ,,,4.9,14.5,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",20–30%.,"2500 or more, or no clouds.",Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.",18,4.4,,,,,,
05.10.2017 03:00,8.4,715.6,768.5,-0.3,84,Wind blowing from the west,1,,,no clouds, ,,,6,14.5,,,,,,18,5.8,No precipitation,6,,,,
05.10.2017 00:00,7.6,715.9,769.1,0,89,Wind blowing from the east-southeast,1,,,no clouds, ,,,7.2,14.5,,,,,,18,5.9,,,,,,
04.10.2017 21:00,14.4,715.9,767.8,0,65,Wind blowing from the west-northwest,1,,,no clouds, ,,,7.7,18.2,,,,,,18,7.9,No precipitation,12,,,,
04.10.2017 18:00,16.2,715.9,767.5,-0.8,55,Wind blowing from the north-northwest,2,,,50%., ,,,7.7,18.2,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0",1000-1500,"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",25,7.2,,,,,,
04.10.2017 15:00,16.6,716.7,768.1,-0.8,59,Wind blowing from the north-northwest,3,,,70 – 80%., ,,,7.7,17.8,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",20–30%.,1000-1500,Altocumulus translucidus at a single level.,"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",18,8.6,No precipitation,6,,,,
04.10.2017 12:00,13.8,717.5,769.6,1.1,66,Wind blowing from the north-west,1,,,"90  or more, but not 100%", ,,,7.7,14,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.","90  or more, but not 100%",1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",15,7.4,,,,,,
04.10.2017 09:00,7.7,716.4,769.6,0.8,88,"Calm, no wind",0,,,"10%  or less, but not 0", ,,,4.8,14.5,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0",1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",15,5.8,No precipitation,12,,,,
04.10.2017 06:00,5.8,715.6,769.1,0,95,Wind blowing from the south-east,1,,,no clouds, ,,,5.4,14.5,,,,,,12,5.1,,,,,,
04.10.2017 03:00,6.8,715.6,768.9,0.3,92,"Calm, no wind",0,,,no clouds, ,,,6.4,14.5,,,,,,15,5.5,No precipitation,6,,,,
04.10.2017 00:00,8.5,715.3,768.3,1.2,86,"Calm, no wind",0,,,no clouds, ,,,7.9,14.5,,,,,,15,6.2,,,,,,
03.10.2017 21:00,14.2,714.1,765.8,0.3,61,Wind blowing from the east-southeast,2,,,no clouds, ,,,7,20.2,,,,,,18,6.8,No precipitation,12,,,,
03.10.2017 18:00,19.2,713.8,764.7,-1,44,Wind blowing from the east-northeast,1,,,no clouds, ,,,7,20.2,,,,,,18,6.6,,,,,,
03.10.2017 15:00,18.4,714.8,765.8,-1.6,47,Wind blowing from the east,2,,,20–30%., ,,,7,18.6,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",20–30%.,1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",15,6.7,No precipitation,6,,,,
03.10.2017 12:00,13,716.4,768.5,-0.1,60,Wind blowing from the east-northeast,1,,,"10%  or less, but not 0", ,,,7,13,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0",1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",12,5.3,,,,,,
03.10.2017 09:00,7.3,716.5,769.7,0,82,Wind blowing from the south-east,2,,,no clouds, ,,,3.3,11.8,,,,,,12,4.4,No precipitation,12,,,,
03.10.2017 06:00,5.4,716.5,770.2,-0.4,88,Wind blowing from the south-southeast,1,,,no clouds, ,,,4.5,11.8,,,,,,15,3.5,,,,,,
03.10.2017 03:00,6,716.9,770.5,-0.1,91,Wind blowing from the south-east,1,,,no clouds, ,,,5.5,11.8,,,,,,15,4.7,No precipitation,6,,,,
03.10.2017 00:00,9.2,717,769.9,0.5,80,Wind blowing from the south-east,1,,,"10%  or less, but not 0", ,,,8.5,11.8,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",15,5.8,,,,,,
02.10.2017 21:00,11.8,716.5,768.8,0.7,72,Wind blowing from the south-east,1,,,20–30%., ,,,8.5,17.8,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",25,6.9,No precipitation,12,,,,
02.10.2017 18:00,16,715.8,767.3,-0.6,51,Wind blowing from the south-east,2,,,60%., ,,,8.5,17.8,Stratocumulus other than Stratocumulus cumulogenitus.,60%.,1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",18,5.9,,,,,,
02.10.2017 15:00,16.7,716.4,767.8,-0.8,47,Wind blowing from the north-east,2,,,20–30%., ,,,8.5,16.7,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",20–30%.,1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",16,5.3,No precipitation,6,,,,
02.10.2017 12:00,13.4,717.2,769.3,0.6,57,Wind blowing from the east,2,,,40%., ,,,8.5,13.6,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",40%.,1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",15,5,,,,,,
02.10.2017 09:00,8.5,716.6,769.6,-0.7,86,"Calm, no wind",0,,,20–30%., ,,,5.7,10.2,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0",1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",12,6.2,No precipitation,12,,,,
02.10.2017 06:00,7.5,717.3,770.5,0,92,"Calm, no wind",0,,,50%., ,,,7,10.2,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",40%.,1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",10,6.2,,,,,,
02.10.2017 03:00,9,717.3,770.2,0.6,85,"Calm, no wind",0,,,"90  or more, but not 100%", ,,,7.5,10.2,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.","90  or more, but not 100%",1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",12,6.5,No precipitation,6,,,,
02.10.2017 00:00,8.4,716.7,769.7,0.6,84,"Calm, no wind",0,,,70 – 80%., ,,,7.5,10.2,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",50%.,1000-1500,Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.",15,5.8,,,,,,
01.10.2017 21:00,10,716.1,768.7,1.3,80,"Calm, no wind",0,,,70 – 80%., ,,,8.6,12.8,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",20–30%.,1000-1500,"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.","No Cirrus, Cirrocumulus or Cirrostratus.",15,6.7,No precipitation,12,,,,
01.10.2017 18:00,12.4,714.8,766.9,0,64,Wind blowing from the south-east,4,,,70 – 80%., ,,,8.6,12.8,Stratocumulus other than Stratocumulus cumulogenitus.,70 – 80%.,1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",15,5.8,,,,,,
01.10.2017 15:00,11.4,714.8,767.2,-0.5,72,Wind blowing from the east,2,,,"90  or more, but not 100%", ,,,8.6,12,Stratocumulus other than Stratocumulus cumulogenitus.,"90  or more, but not 100%",1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",15,6.5,No precipitation,6,,,,
01.10.2017 12:00,10.8,715.3,767.8,0.4,71,Wind blowing from the south,2,,,"90  or more, but not 100%", ,,,8.6,11,Stratocumulus other than Stratocumulus cumulogenitus.,"90  or more, but not 100%",1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",18,5.7,,,,,,
01.10.2017 09:00,9,714.9,767.7,0.4,74,Wind blowing from the east,1,,,"90  or more, but not 100%", ,,,8.5,10,Stratocumulus other than Stratocumulus cumulogenitus.,"90  or more, but not 100%",1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",15,4.6,No precipitation,12,,,,
01.10.2017 06:00,9,714.5,767.3,0,78,"Calm, no wind",0,,,100%.,Mist. ,Cloud covering more than 1/2 of the sky throughout the appropriate period.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,8.8,10,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",100%.,1000-1500,,,9,5.3,,,,,,
01.10.2017 03:00,9,714.5,767.2,-0.2,85,"Calm, no wind",0,,,"90  or more, but not 100%", ,,,8.8,10,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.","90  or more, but not 100%",1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",10,6.5,No precipitation,6,,,,
01.10.2017 00:00,9,714.7,767.5,0.1,72,Wind blowing from the south-east,1,,,"90  or more, but not 100%", ,,,9,10,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.","90  or more, but not 100%",1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",10,4.1,,,,,,
30.09.2017 21:00,9.8,714.6,767.2,-0.4,75,Wind blowing from the south-east,1,,,100%.,"Rain, not freezing, intermittent, slight at time of observation. ",Rain.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,8.4,13.2,Stratocumulus other than Stratocumulus cumulogenitus.,70 – 80%.,1000-1500,Altostratus opacus or Nimbostratus.,,10,5.5,Trace of precipitation,12,,,,
30.09.2017 18:00,11.6,715,767.3,0,59,Wind blowing from the east,2,,,"90  or more, but not 100%", ,,,8.4,13.2,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.","90  or more, but not 100%",1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",18,3.7,,,,,,
